icao24,origin_country,velocity,on_ground
39de4f,France,221.85,False
39de4e,France,239.5,False
e8027c,Chile,249.02,False
e8027d,Chile,223.39,False
a1abec,United States,56.98,False
39de4b,France,222.47,False
a89ea8,United States,71.12,False
39de4a,France,210.4,False
aa9321,United States,257.59,False
39de4c,France,238.09,False
39de57,France,207.82,False
a77ec5,United States,52.54,False
801645,India,227.47,False
aa3cc6,United States,40.35,False
3cf0b8,Germany,171.01,False
39de50,France,219.02,False
80162f,India,237.94,False
3ffc21,Germany,66.21,False
39de55,France,208.53,False
a34230,United States,218.34,False
80163d,India,263.55,False
a3ebd8,United States,72.1,False
a41ef1,United States,60.64,False
801647,India,188.81,False
801648,India,215.71,False
a41ef3,United States,292.78,False
ac2308,United States,5.66,True
c034ab,Canada,137.01,False
aae323,United States,238.67,False
a3a578,United States,150.53,False
801615,India,217.41,False
a22235,United States,44.23,False
a23563,United States,46.12,False
ad562a,United States,145.1,False
80160e,India,187.2,False
a6053c,United States,39.07,False
ae1fb8,United States,64.75,False
ad5623,United States,239.65,False
ab0347,United States,52.38,False
c047d8,Canada,29.33,False
801627,India,83.35,False
801626,India,267.71,False
adffa8,United States,112.67,False
a0e250,United States,0.0,True
801629,India,132.42,False
39de46,France,216.78,False
407a05,United Kingdom,224.16,False
39de45,France,197.9,False
39de48,France,238.91,False
a84509,United States,47.96,False
a2ded8,United States,222.24,False
39de49,France,231.64,False
39de40,France,221.42,False
acdfc2,United States,78.46,False
39de44,France,220.1,False
80166c,India,240.83,False
44028c,Austria,235.15,False
adeca5,United States,65.54,False
ab0356,United States,256.51,False
aad012,United States,230.58,False
511188,Estonia,253.01,False
ae6305,United States,210.14,False
ae1fe1,United States,51.76,False
ae6306,United States,128.62,False
4acb01,Sweden,249.05,False
4acb03,Sweden,248.55,False
801686,India,166.17,False
a47597,United States,0.64,True
801689,India,190.5,False
adffba,United States,237.33,False
51116f,Estonia,254.61,False
4bc8c6,Turkey,232.85,False
4bc8c7,Turkey,240.28,False
4bc8c2,Turkey,213.72,False
a9b3df,United States,41.29,False
a7bc8e,United States,265.89,False
801680,India,172.32,False
4bc8d0,Turkey,246.27,False
80167e,India,3.6,True
80167c,India,257.93,False
3dbc00,Germany,76.97,False
c02298,Canada,114.13,False
e8024a,Chile,162.03,False
abf008,United States,245.65,False
ada629,United States,123.2,False
acdfcc,United States,79.55,False
511171,Estonia,199.09,False
511172,Estonia,186.9,False
a710fe,United States,40.3,False
aaf67d,United States,106.25,False
e80267,Chile,219.54,False
4bc8d3,Turkey,234.36,False
4bc8d4,Turkey,219.42,False
a4d838,United States,217.46,False
4bc8d2,Turkey,243.88,False
80164b,India,157.43,False
80164f,India,239.31,False
80164c,India,112.58,False
47887e,Norway,136.54,False
471efc,Hungary,206.96,False
e80279,Chile,218.88,False
801662,India,107.9,False
00b231,South Africa,65.38,False
e80272,Chile,217.9,False
a72506,United States,31.08,False
51118b,Estonia,220.7,False
51118a,Estonia,0.0,True
a34268,United States,215.4,False
511195,Estonia,184.14,False
a3a541,United States,56.47,False
adecb6,United States,211.48,False
4031bc,United Kingdom,41.06,False
adb974,United States,40.53,False
aae377,United States,4.12,True
a59530,United States,141.08,False
80165e,India,232.04,False
a9a0b6,United States,40.46,False
a3689e,United States,241.82,False
a3556f,United States,89.09,False
801674,India,232.42,False
a950cc,United States,0.06,True
abf025,United States,239.63,False
a3b86c,United States,206.32,False
aa0911,United States,45.28,False
a53ee2,United States,6.17,False
505f15,Slovakia,224.29,False
ac21e4,United States,198.06,False
abad94,United States,228.46,False
a114a4,United States,108.17,False
4acb42,Sweden,245.66,False
aa8079,United States,0.0,True
e80211,Chile,231.26,False
adda24,United States,14.4,True
4c1e73,Serbia,66.77,False
e80215,Chile,103.02,False
ac6a65,United States,6.94,True
accd69,United States,2.57,False
8a040b,Indonesia,224.98,False
440248,Austria,189.85,False
3455d9,Spain,183.19,False
adb7ee,United States,208.99,False
a02a1b,United States,19.79,False
4acb58,Sweden,263.1,False
e0b299,Argentina,223.46,False
440250,Austria,36.14,False
ae0d68,United States,47.67,False
44023f,Austria,256.09,False
a6f23d,United States,234.2,False
e8021a,Chile,216.74,False
3c5ee8,Germany,6.69,True
3c5ee6,Germany,8.75,True
3c5ee5,Germany,237.9,False
4bc8cf,Turkey,235.7,False
4bc8ce,Turkey,232.72,False
ab2912,United States,78.48,False
4acb23,Sweden,247.15,False
aded77,United States,210.61,False
